hashtags:,#2026,#felizañonuevo
gabrielmaya2808,18551623867032164,https://www.instagram.com/p/DTEc6bHjLl0/,Y mañana vienen los extraterrestres 😂😂😂
dshadows1505,18082233700897743,https://www.instagram.com/p/DTEc6bHjLl0/,@gabrielmaya2808 wisin y yandel?
gabrielmaya2808,18056459183654615,https://www.instagram.com/p/DTEc6bHjLl0/,¿Quiénes?
dshadows1505,17877149676462016,https://www.instagram.com/p/DTEc6bHjLl0/,@gabrielmaya2808 wisin y yandel
gabrielmaya2808,17937671799149221,https://www.instagram.com/p/DTEc6bHjLl0/,Ni idea de quiénes son
guadalupegarciamenchaca,18432378376113946,https://www.instagram.com/p/DTEc6bHjLl0/,@gabrielmaya2808 te falta barrio
dshadows1505,18300337672287738,https://www.instagram.com/p/DTEc6bHjLl0/,@guadalupegarciamenchaca como lo ves
gabrielmaya2808,17936553144130081,https://www.instagram.com/p/DTEc6bHjLl0/,@guadalupegarciamenchaca ni que fueran indispensables para vivir 😂😂😂
guadalupegarciamenchaca,17866213620456971,https://www.instagram.com/p/DTEc6bHjLl0/,"@gabrielmaya2808 quien dijo que fuera indispensable para vivir, solo dije que te falta barrio, tal vez también comprensión lectora"
guadalupegarciamenchaca,18096120286902011,https://www.instagram.com/p/DTEc6bHjLl0/,"dshadows1505 mal, muy mal, casi una leyenda urbana y no saber quienes son 😞"
car_lo_mgn,18098591782854148,https://www.instagram.com/p/DTEc6bHjLl0/,Dios:jaja bromita
arconiano,18019530884624553,https://www.instagram.com/p/DTEc6bHjLl0/,"Nooooo Era el Cascanueces, fue tu culpa. 😖😖😖"
amclejz_9,18062893016265590,https://www.instagram.com/p/DTEc6bHjLl0/,
lirajunky21,18054572762373793,https://www.instagram.com/p/DTEc6bHjLl0/,No entendi la referencia de el primero de enero.. Alguien explica porfavor!!
vero.cisnerosp,18098678614681426,https://www.instagram.com/p/DTEc6bHjLl0/,"@lirajunky21 Por que ese día,en todas las estaciones de radio de Rusia,dono el Lago de los Cisnes,haciendo referencia a que algo estaba por pasar."
hectorguadalupe78,17843158251670020,https://www.instagram.com/p/DTEc6bHjLl0/,@lirajunky21 es que rusia tiene una radio llamada el fin del  mundo es pura  estatica  y sono el lago de los cisnes
staywithme.oficial,18319697512223499,https://www.instagram.com/p/DTEc6bHjLl0/,@lirajunky21 esque hay una radio que se llama la radio de la muerte y suena cuando va a pasar algo malo y el 1 de enero esa radio transmitio el lago de los cisnes
frank.durand16,17906682315320363,https://www.instagram.com/p/DTEc6bHjLl0/,@lirajunky21 que cuando en Rusia ponen el lago de los cisnes ... Viene algo feo .
lirajunky21,18117815605603908,https://www.instagram.com/p/DTEc6bHjLl0/,@vero.cisnerosp Oo jaja ok gracias!!
lirajunky21,17989654313752329,https://www.instagram.com/p/DTEc6bHjLl0/,@staywithme.oficial Gracias!!
lirajunky21,18415508593142472,https://www.instagram.com/p/DTEc6bHjLl0/,@frank.durand16 Gracias a toda la banda que me explico!!
manu_hawkboy,18121206316484049,https://www.instagram.com/p/DTEc6bHjLl0/,"Eso no se vale, en Yucatán no se sienten las ondas sísmicas. 🥹"
djerpy,18382791922195567,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂
fercho.2030,18074679266077172,https://www.instagram.com/p/DTEc6bHjLl0/,😂
moonzter,17873518773474135,https://www.instagram.com/p/DTEc6bHjLl0/,No entendí lo del lago de los cisnes
alfredoaguirreart,17891883285398709,https://www.instagram.com/p/DTEc6bHjLl0/,Se ve que Vicky vio la pirtada de The Economist 2026 ....😂😂
mitogalagarza,17891325714400236,https://www.instagram.com/p/DTEc6bHjLl0/,
antoniobheck,18298417522275087,https://www.instagram.com/p/DTEc6bHjLl0/,
quintero1519,17898818082362164,https://www.instagram.com/p/DTEc6bHjLl0/,Ya porfabor no mas sopresasssss
mfvalenzuelas,17847274317631421,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂😂😂😂
starb0y89,18154035652425481,https://www.instagram.com/p/DTEc6bHjLl0/,Falto lo de la lluvia de estrellas :D
miloetch,18104340370769022,https://www.instagram.com/p/DTEc6bHjLl0/,"Ya no hay que decirle eso, recordemos que en 2019 lo dijimos y ¡BOOM! Y ahora que lo dijimos otra vez, llevamos unos cuantos días de 2026 y… 😬😬😬"
dragonesporelmundo,18091917664767898,https://www.instagram.com/p/DTEc6bHjLl0/,"Animo, falta menos para que acabe el año, solo 362 dias"
cristi_chula,18090726316974514,https://www.instagram.com/p/DTEc6bHjLl0/,"Estoy asustada y hoy es 4, estoy esperando ahora que?!"
davidjosue439,18043661516500912,https://www.instagram.com/p/DTEc6bHjLl0/,
oscarguerre88,18033544247758242,https://www.instagram.com/p/DTEc6bHjLl0/,...estás súper bonita 😍😍😍
reyna_alexandra521100,18035109584541011,https://www.instagram.com/p/DTEc6bHjLl0/,Quién no entendió el lago de los cisnes no sabe del miedo que se acaba de salvar
mr_kite5_oficial,17866609815537719,https://www.instagram.com/p/DTEc6bHjLl0/,es el bombardeo de Trump
obi040404,18087581819085300,https://www.instagram.com/p/DTEc6bHjLl0/,"Me contaron un chiste Había un Yucateco en una hamaca y le dice a la esposa ""vieja pasame el antídoto contra el piquete de alacran"" porque viejo te picó uno? No pero ahi viene para aca😂 No se si así sea la gente"
lidiapamelarodvig,17957508455901754,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂
antonio_flores34,17868991134522343,https://www.instagram.com/p/DTEc6bHjLl0/,Con que tu fuites por eso tembló en guerrero 😂😂😂
arte__sangre,18122812333535807,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂😂😂😂😂😂😂😂 ándele wey
mguevarar1,17908880295144704,https://www.instagram.com/p/DTEc6bHjLl0/,Ya te pasate de endeja
rucapi1,17927922903188327,https://www.instagram.com/p/DTEc6bHjLl0/,EUA bombardea Caracas Venezuela
yaro_cano,17986050323924169,https://www.instagram.com/p/DTEc6bHjLl0/,🙌😂🙌
rya70,18054547184362534,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂😂😂😂
ecosuperonline,17846955084653083,https://www.instagram.com/p/DTEc6bHjLl0/,😂😂😂😂😂😂😂
dariela.barrera,18009135263820441,https://www.instagram.com/p/DTEc6bHjLl0/,😂🙌❤️
