hashtags:,#yucatan,#yucatecos,#gastronomiayucateca
mariocarrogna,18550759672028627,https://www.instagram.com/p/DTMIoBZjP-K/,@wili_berto no mames un jalisquillo 😂 yo solo entendi que te gusta la reata
brand404mont,18100593085830141,https://www.instagram.com/p/DTMIoBZjP-K/,@wili_berto sin Yolanda Maricarmen que aquí no pasa Nancy
stephanie.saki,18059406854313317,https://www.instagram.com/p/DTMIoBZjP-K/,Marquesita con fresa 🍓 + Nutella + Queso 🧀 😍😋
medinaracci,18075906641590989,https://www.instagram.com/p/DTMIoBZjP-K/,@stephanie.saki la triada perfecta
lu.gomme.92,17869059726434560,https://www.instagram.com/p/DTMIoBZjP-K/,@stephanie.saki yo la pido pero con cajeta🥴🥰🤤 es mi combo favorito
benja._.mb,18177732862368749,https://www.instagram.com/p/DTMIoBZjP-K/,@stephanie.saki como las crepas
martinezlucio,18205386292321688,https://www.instagram.com/p/DTMIoBZjP-K/,"@stephanie.saki Eso para mí es algo muy raro. He vivido en EEUU y Nutella es algo conocido pero nel, no me gusta."
flangw2,17938081593120213,https://www.instagram.com/p/DTMIoBZjP-K/,@stephanie.saki igual pero sin ese queso culero
el_jhonnie,18087222799864572,https://www.instagram.com/p/DTMIoBZjP-K/,Ay se me antojo una marquesita 🤤
_ardiia_,18122456548553716,https://www.instagram.com/p/DTMIoBZjP-K/,"Literal cuando fui junto a mis papás a un restaurant de comida yucateca todo eso dijeron y el mesero nada más se les quedó viendo antes de contestar ""eh, si..."" 😂"
gilperezbrandi,17943454380096269,https://www.instagram.com/p/DTMIoBZjP-K/,Hasta yo me enca… nijé y no soy yucateco 😂
jelp_7,17907501732313276,https://www.instagram.com/p/DTMIoBZjP-K/,Oye si! Porque los yucatecos le ponen queso a la crepa???🤣
yosoysaragr,18084041336137087,https://www.instagram.com/p/DTMIoBZjP-K/,"@jelp_7 sabe super rico, es"
sir_vargas,18144085294409686,https://www.instagram.com/p/DTMIoBZjP-K/,@jelp_7 habría que probarlo para entenderlo
daspao,17885798691303419,https://www.instagram.com/p/DTMIoBZjP-K/,@jcazaresmtz necesito ir a Mérida 😍😍😍
alancajaroja,17911654320271112,https://www.instagram.com/p/DTMIoBZjP-K/,Yo ando leyendo los comentarios con acento yucateco 😂 pd. Soy del norte
dazedzito,18071406038113012,https://www.instagram.com/p/DTMIoBZjP-K/,@alancajaroja somos 2
rabeyhart,18102471340695345,https://www.instagram.com/p/DTMIoBZjP-K/,Y en q momento te jala el cabello????
totynstagram,18100991371629047,https://www.instagram.com/p/DTMIoBZjP-K/,@rabeyhart El c-beio
mou._puchi,17996900999721985,https://www.instagram.com/p/DTMIoBZjP-K/,@totynstagram el k-beio
marvrsr,18547515511019377,https://www.instagram.com/p/DTMIoBZjP-K/,@rabeyhart ¿Kien me jalo mi kabeyo? 😂😂😂
david___durand,18083766659151289,https://www.instagram.com/p/DTMIoBZjP-K/,Tlaloc es mejor que Chac Mool 😂
santibarronsour,17934290565141182,https://www.instagram.com/p/DTMIoBZjP-K/,
notsundere_,18072262970376806,https://www.instagram.com/p/DTMIoBZjP-K/,"Yo una vez si me enoje, ya habia visto mucho eso de la marquesita. Se pusieron en el mercado a vender un chico, pedi una y al morder no le vi el queso😢 le pregunté y me dijo que asi no las preparaba el 😢😢😢 y le die que entonces era una crepa en rollito 😔"
dpad7,18063479090285964,https://www.instagram.com/p/DTMIoBZjP-K/,@notsundere_ como para regresarle su mugrero
notsundere_,18094405574503891,https://www.instagram.com/p/DTMIoBZjP-K/,@dpad7 estaba rica la crepa 😂 pero si me quede con las ganas de probar ese queso que le ponen
raulrealt,18546899809031732,https://www.instagram.com/p/DTMIoBZjP-K/,Yo soy yucateco y tampoco me gusta el queso de bola jaja
estrellaceleste38,18024906521607739,https://www.instagram.com/p/DTMIoBZjP-K/,"Pero la marquesita debe ser un invento reciente, como la torta que crearon como una versión mexicana del sandwich. 🤔 Es posible? Alguien que sepa?"
fabz.rc,17994136709905239,https://www.instagram.com/p/DTMIoBZjP-K/,@estrellaceleste38 la marquesita en si existe desde los años 30's
elingrediente.com.mx,17923522761211653,https://www.instagram.com/p/DTMIoBZjP-K/,"@estrellaceleste38 pero la torta existe desde la mitad del siglo XIX, hay publicidad de esa época de panaderias"
ikary_a,18087735994843824,https://www.instagram.com/p/DTMIoBZjP-K/,Yo no soy Yucateca y me enojo lo de la Marquesita.
erpasob,18108858076637441,https://www.instagram.com/p/DTMIoBZjP-K/,@ikary_a igual yo!
h4d3s8,18009157580664814,https://www.instagram.com/p/DTMIoBZjP-K/,"@ikary_a se hace con la misma mezcla, es una crepa durita"
gilnavarrootero,18385220893199947,https://www.instagram.com/p/DTMIoBZjP-K/,@ikary_a 😂😂😂🤣🤣
jazijg,18105632416664473,https://www.instagram.com/p/DTMIoBZjP-K/,"@ikary_a jaja igual, a mi no me gustan, pero seria pecado pedirla sin queso😂"
e_pumarino_v,17950265133041612,https://www.instagram.com/p/DTMIoBZjP-K/,@ikary_a jajajaja igual
karymebaby,18108471172635938,https://www.instagram.com/p/DTMIoBZjP-K/,Como HACER enojar.....
ixpanea,18084629606181755,https://www.instagram.com/p/DTMIoBZjP-K/,Nomas me dio hambre
johan_pchm,18435111394106178,https://www.instagram.com/p/DTMIoBZjP-K/,"Enójense conmigo, soy de la península (No de Yucatán) pero no me terminan de agradar las marquesitas ni el queso de bola en general 😶"
jackiegaruiz,17855843259599027,https://www.instagram.com/p/DTMIoBZjP-K/,@johan_pchm x2. El queso bola sabe horrible 🤢
sigmasco,18520749259066994,https://www.instagram.com/p/DTMIoBZjP-K/,@jackiegaruiz Más para mí
yessiikamposs,18168034630386278,https://www.instagram.com/p/DTMIoBZjP-K/,Tampoco me gustó mi marquesita (crepa) con queso de bola!!! Hahaha😐
jasiebecerra,17884650030320629,https://www.instagram.com/p/DTMIoBZjP-K/,"Cómo que no le gustan las marquesitas sin queso?! 😤 Y obviamente no son como crepas 🤨😠 (yo, la más poblana 😂)"
su.alcaraz,18104674777704543,https://www.instagram.com/p/DTMIoBZjP-K/,"Duda genuina, que les suena la correcto “¿cómo enojar a un yucateco?” O “¿cómo HACER enojar a un yucateco?”"
djfalcon_100,18369320485089658,https://www.instagram.com/p/DTMIoBZjP-K/,Y cuando pidas una marquesita pídela con queso blanco no de bola 🤣🤣🤣🤣🤣🤣🤣
jelp_7,18324947008168674,https://www.instagram.com/p/DTMIoBZjP-K/,Aparte la cochinita sí o sí lleva limón 😎
cdenis_7,17903621832183230,https://www.instagram.com/p/DTMIoBZjP-K/,@jelp_7 🖕🏿
adrianisima_,17997195689719528,https://www.instagram.com/p/DTMIoBZjP-K/,@jelp_7 claro que no 🧐 si acaso nomás en la salsa de habanero
lagv86,17929291713036800,https://www.instagram.com/p/DTMIoBZjP-K/,Hay una más fácil: decirles que hablan igual que los campechanos
tteressa3110,17955099345052236,https://www.instagram.com/p/DTMIoBZjP-K/,"@lagv86 los campechanos hablan diferente 🤔, los de Quintana Roo hablamos más o menos igual."
mariann.floresc,18374086273081156,https://www.instagram.com/p/DTMIoBZjP-K/,como vas a pedir la marquesita sin queso 😠
hugo_hrra1,18072471332605958,https://www.instagram.com/p/DTMIoBZjP-K/,Yo creía que la marquesita era queretana. Porque mi familia me dijo que en ningún otro lugar las vendían. Solo en Querétaro capital😢😢... Perdón Vicki 😢
cappu.chiina,17883288177331565,https://www.instagram.com/p/DTMIoBZjP-K/,"O sea ya no entendí, la sopa de lima es o no un caldo de pollo?????"
dmyurgo,18100454824874190,https://www.instagram.com/p/DTMIoBZjP-K/,@cappu.chiina si es y ni lima lleva 😅
verorcscj,18086060480025087,https://www.instagram.com/p/DTMIoBZjP-K/,@dmyurgo SÍ. ES LA BASE DEL CALDO...
mann_zart,18099417565872608,https://www.instagram.com/p/DTMIoBZjP-K/,@cappu.chiina La sopa de pasta lleva caldo de pollo y eso no la hace caldo de idem
yamilycalderonnice,18097446577809993,https://www.instagram.com/p/DTMIoBZjP-K/,@dmyurgo si lleva lima
lajuls.mov,18097244944880716,https://www.instagram.com/p/DTMIoBZjP-K/,el de la marquesita si me ofendió
sergio_rossell2345,18070231433419959,https://www.instagram.com/p/DTMIoBZjP-K/,Y el pan de cazón es como los hot cakes pero con pescado
rodolfochka,18193942465337820,https://www.instagram.com/p/DTMIoBZjP-K/,@sergio_rossell2345 una empanada?? 😅😅😅
mayelo316,18190108501347453,https://www.instagram.com/p/DTMIoBZjP-K/,@sergio_rossell2345 😂😂😂
adrianisima_,17860107525578589,https://www.instagram.com/p/DTMIoBZjP-K/,@sergio_rossell2345 jajajajaja😂😂😂
sibeknk,18086060251876292,https://www.instagram.com/p/DTMIoBZjP-K/,Querer ponerle limón a la cochinita 😂
stephanie.saki,17931125670174123,https://www.instagram.com/p/DTMIoBZjP-K/,@sibeknk 🤯😱 esta no me la sabia !!
loulan.gg,18117307180564219,https://www.instagram.com/p/DTMIoBZjP-K/,"@sibeknk una disculpa, yo le pongo limón a todo jajajaja"
juanpxjuega,18054975959678165,https://www.instagram.com/p/DTMIoBZjP-K/,@sibeknk quien le pone limón a la cochinita?
m_karla29,17952193539061309,https://www.instagram.com/p/DTMIoBZjP-K/,"@sibeknk yo siempre la como con limón, y las marquesitas sin queso Jajajajjaa"
julie_reyes85,17848421613625331,https://www.instagram.com/p/DTMIoBZjP-K/,@juanpxjuega yo 😛pero en mi defensa debo decir que una amiga yucateca me enseñó a ponerle limón a mis tacos de cochinita 😞 pero juro que es con todo el respeto del mundo
rosalia_fuentes,18090004745066154,https://www.instagram.com/p/DTMIoBZjP-K/,@sibeknk ¿no lleva limón 😢?
xgerardvpr45,17930506905175915,https://www.instagram.com/p/DTMIoBZjP-K/,@juanpxjuega YO
mr.cobleppot,18070628966116732,https://www.instagram.com/p/DTMIoBZjP-K/,@sibeknk yo la como con limón 😂
moisez_bust,18069840428382164,https://www.instagram.com/p/DTMIoBZjP-K/,@sibeknk pero en los mercados te ponen limón en tu plato
pptotravel,18070712471381280,https://www.instagram.com/p/DTMIoBZjP-K/,¿Donde conseguiste salbutes de ese tamaño? 😮😮😮😮
m4rvelilla,18097180694498901,https://www.instagram.com/p/DTMIoBZjP-K/,@pptotravel en la Pequeña Susana son así de enormes y deliciosos
pptotravel,17912711067123079,https://www.instagram.com/p/DTMIoBZjP-K/,@m4rvelilla 😮😮😮 Tengo que ir. ¡Muchas gracias!
dr.guschavez,18343425748224509,https://www.instagram.com/p/DTMIoBZjP-K/,En León Guanajuato me vendieron una tostada con frijol y cochinita diciendome que era un panucho!!! 🙈🙈
aisraelmiranda,18387506545149860,https://www.instagram.com/p/DTMIoBZjP-K/,Antes no dijo que la cochinita son tacos tipo birria pero con cebolla morada😂😂😂😂😂😂😂😂😂😂
benja._.mb,17984301125936840,https://www.instagram.com/p/DTMIoBZjP-K/,O q  la cochinita pibil es como los tacos al pastor de Yucatán. Si te das cuenta muchas taquerías usan las mismas especias y marinaje. Solo que en ves de pib lo cocinan estilo quebab
gilnavarrootero,18116291743579141,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
alexvargasvargas85,18083032583134620,https://www.instagram.com/p/DTMIoBZjP-K/,Noooo capaz y hasta lo hacen en Pib
alexvargasvargas85,18068866220529760,https://www.instagram.com/p/DTMIoBZjP-K/,"@benja._.mb esa es casi la única diferencia, porque el pastor no lleva naranja agria"
garmagangel,18102779932833379,https://www.instagram.com/p/DTMIoBZjP-K/,@benja._.mb no wey
benja._.mb,18082739983929319,https://www.instagram.com/p/DTMIoBZjP-K/,@alexvargasvargas85 pero si llegan a echarle. Ve los tutoriales de YouTube de tacos al pastor.
alexvargasvargas85,18103211857748558,https://www.instagram.com/p/DTMIoBZjP-K/,@benja._.mb Bro soy chef y jamás le ponemos naranja agria
outilio,18083583965182239,https://www.instagram.com/p/DTMIoBZjP-K/,"De hecho no, la birria no se parece a la cochinita, la cochinita es más como mole con pollo, pero más aguado, jajajaja."
benja._.mb,18090682688050198,https://www.instagram.com/p/DTMIoBZjP-K/,"@alexvargasvargas85 yo nomás digo q veas los que hacen tutoriales de pastor. Sin embargo, si la única diferencia es la naranja agria, estonces la mayoría de la comida mexicana es sabor birria."
zuriel_rey,18346155739231643,https://www.instagram.com/p/DTMIoBZjP-K/,Tortas de cochinita con mayonesa
yamilycalderonnice,18551072074027732,https://www.instagram.com/p/DTMIoBZjP-K/,@zuriel_rey fooooo
parthive_patel,18065361731217450,https://www.instagram.com/p/DTMIoBZjP-K/,Äaah @victoria_levario_
victoria_levario_,18557044075058713,https://www.instagram.com/p/DTMIoBZjP-K/,@parthive_patel hahahaha
xelipeg3,18059364938322480,https://www.instagram.com/p/DTMIoBZjP-K/,Quien le jaló su cabeio? Quien le jaló su cabeio?? 👊🏻😾
ca.rdona34,17879645658446545,https://www.instagram.com/p/DTMIoBZjP-K/,Cucho de don gato era yucateco
goyodesgrz,18086006942094751,https://www.instagram.com/p/DTMIoBZjP-K/,"Soy de Oaxaca e igual me enoje feo, cómo va a ir a pedir marquesita sin queso? 😡"
sofia.mercasti,17925906960194328,https://www.instagram.com/p/DTMIoBZjP-K/,"@liz.esme como cuando te pregunte si la cocinita pibil era de ahí, nunca olvidare tu cara jajajjaa"
liz.esme,18088994615066747,https://www.instagram.com/p/DTMIoBZjP-K/,@sofia.mercasti JAJAJA y si se le ponía limón 🤣
diego.mtz93,17992171940879280,https://www.instagram.com/p/DTMIoBZjP-K/,"Jajajaja fui! Es imposible no hacer las comparaciones, sin embargo, es una falta de educación cultural, fue mi primera vez así que las próximas ya lo diré por su nombre 🤘🏼"
anaam_martinez,18033293426753591,https://www.instagram.com/p/DTMIoBZjP-K/,"Literal así es jajaja, yo soy de Tamaulipas pero vivo en Carmen Campeche y dije lo mismo"
mayelo316,18061253774294940,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😅 creo que al Cesar lo van a divorciar si sigue de chistosito?
maikelvillegas1,17869518597517913,https://www.instagram.com/p/DTMIoBZjP-K/,Foo
cynlbr,17886995472421136,https://www.instagram.com/p/DTMIoBZjP-K/,"Acabo de ir a Mérida en fin de año y fue inevitable no hacer todas esas comparaciones Jaajaja 😂, tan bonito que es Yucatán 🫶🏼"
hugoacost,17851354980582942,https://www.instagram.com/p/DTMIoBZjP-K/,
hugoacost,17991694559745726,https://www.instagram.com/p/DTMIoBZjP-K/,@hugoacost Forma más efectiva de enojar a un Yucateco
hinda_oj,18099731899862646,https://www.instagram.com/p/DTMIoBZjP-K/,Que tienen encima tus papadzules?  Son modificados ?
ceramicsequence,17905709289335659,https://www.instagram.com/p/DTMIoBZjP-K/,@hinda_oj se ve como longaniza
dagogarza9,18096016943505843,https://www.instagram.com/p/DTMIoBZjP-K/,"Se ve bien malo, apenas probar 😂 @lizveranda_"
lizveranda_,18096052816897289,https://www.instagram.com/p/DTMIoBZjP-K/,@dagogarza9 jajjajajaa siii vamos a probar
betocreativo,17995450748857726,https://www.instagram.com/p/DTMIoBZjP-K/,"Amo a tu marido, yo no gusto del queso. De ninguna forma o variedad."
viripaobaron,18299707402302585,https://www.instagram.com/p/DTMIoBZjP-K/,Oigan con las maquesitas no 🥲🤧🤧😐😑
danielmf96,17869118397447726,https://www.instagram.com/p/DTMIoBZjP-K/,q acento mas qlro
siul_euquirne,18079044620342577,https://www.instagram.com/p/DTMIoBZjP-K/,puros fachos
balde_rhd,17957129436026289,https://www.instagram.com/p/DTMIoBZjP-K/,@robvillanueva
carlosereyesarias,18036401783753076,https://www.instagram.com/p/DTMIoBZjP-K/,La sopa de lima es de lo mejor
jose.r.avila.946,18037767815531217,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
nonelmlb,18003089387838431,https://www.instagram.com/p/DTMIoBZjP-K/,El final 🤣🙌
eidasl,18094245691756615,https://www.instagram.com/p/DTMIoBZjP-K/,Para enojar a un yucateco solo jalale su cabello
sailentd,17934164400155152,https://www.instagram.com/p/DTMIoBZjP-K/,Pero el papatzul si es una enchilada
axoloty_i,18307471987280160,https://www.instagram.com/p/DTMIoBZjP-K/,"Solo como papazul, lo busco los busco y no lo busco"
guadalupe_sbja09,17948783283065397,https://www.instagram.com/p/DTMIoBZjP-K/,Wey la primera vez q probé la marquesita casi me vomito weeeey 😭
alejandrolopor,18190751434344539,https://www.instagram.com/p/DTMIoBZjP-K/,"Los yucatecos se llevarían bien con los colombianos, a ellos no se les haría raro queso en chocolate caliente"
avfrndz,18203434348323525,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
rigelpirron,18086755808472778,https://www.instagram.com/p/DTMIoBZjP-K/,Macachipec!
uri_hdz_ft,18359786278163732,https://www.instagram.com/p/DTMIoBZjP-K/,QUIEN ME JALO MI CABELLO 😂
ch_elyzabeth,18103110313793522,https://www.instagram.com/p/DTMIoBZjP-K/,Todo se ve deli 😍
el_yua,18062003261304708,https://www.instagram.com/p/DTMIoBZjP-K/,"Pues es que sí we, no sé porque se sienten taaaan especiales. Si fueran la mitad de los mayas (en cuanto a conocimiento) pues ahí sí we, pero unos perros platillos que 🤷🏻‍♂️"
marcosdlri,18324719275223443,https://www.instagram.com/p/DTMIoBZjP-K/,Papadzul = enchilada de huevo hervido
favo_bailarindesonjarocho,18011800913658219,https://www.instagram.com/p/DTMIoBZjP-K/,"La neta si, sabe delicioso 😋"
felipe_______no,18549453256035031,https://www.instagram.com/p/DTMIoBZjP-K/,La sopa de lima es caldo de pollo
itzpamx_,18180500167369085,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂
yamita58,18006356621681870,https://www.instagram.com/p/DTMIoBZjP-K/,🤣🤣🤣
falkiria.viper,17885748684425677,https://www.instagram.com/p/DTMIoBZjP-K/,Ps si no?
50.carrillo,18026501783603187,https://www.instagram.com/p/DTMIoBZjP-K/,Los yucatecos son mejores que los chilangos hasta en la comida
aikabaal,18389575690194358,https://www.instagram.com/p/DTMIoBZjP-K/,Ah entonces Campeche es como Mérida en chiquito
ruycoazy,18084150604912002,https://www.instagram.com/p/DTMIoBZjP-K/,"Ese queso de bola del gallo azul, que delicia"
robertoenapolescardoso,18056388938354417,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajaja 😂😂😂😂😂
leticiamorales1230,18097389880898574,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂
jorgektch,18076741628354755,https://www.instagram.com/p/DTMIoBZjP-K/,@davidperez1208
adhan2341,17992611680913374,https://www.instagram.com/p/DTMIoBZjP-K/,La cochinita lleva limon
lopzsara,18059488523323195,https://www.instagram.com/p/DTMIoBZjP-K/,Por todo se enojan esos weyes
rya70,18028224500591083,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂😂😂
vargas_brg,18132282046502393,https://www.instagram.com/p/DTMIoBZjP-K/,Confirmo lo del queso
_tala109_,18081021629223393,https://www.instagram.com/p/DTMIoBZjP-K/,Xd🤣🤣
maria.moctezuma,17889042975287852,https://www.instagram.com/p/DTMIoBZjP-K/,Totalmente
irving_icsm,18089920742317852,https://www.instagram.com/p/DTMIoBZjP-K/,Saben horribles las las marquesitas
yaozvibes,18082863290467595,https://www.instagram.com/p/DTMIoBZjP-K/,Hasta yo que no soy yucateca me emperré cuando el de adelante de mi pidió su marquesita sin queso 🤬
guillermoramos5608,18104890270668447,https://www.instagram.com/p/DTMIoBZjP-K/,El último parece burrito😂😂😂
baruchlozano,18403471804123400,https://www.instagram.com/p/DTMIoBZjP-K/,Una quesadilla pero sin queso…. Ah entonces es como un Taco no? 🤣🤣🤣🤣
baruchlozano,18357885280160769,https://www.instagram.com/p/DTMIoBZjP-K/,Jajajaja puro huach
davidsotoslw,17920001202230905,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂😂😂😂😂😂
lucky0110,18101345434836763,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
jc__coronel,18099257029888251,https://www.instagram.com/p/DTMIoBZjP-K/,No soy yucateco pero hasta a mi me dio coraje que pidiera la marquesita sin queso 😤
heridts,18105039730690519,https://www.instagram.com/p/DTMIoBZjP-K/,Todos raros los Yucatecos
soy_a.x,18066330662554518,https://www.instagram.com/p/DTMIoBZjP-K/,COMO PIDES UNA MARQUESITA SIN QUESO!!!!
terryfernandezrivas,18118126558507807,https://www.instagram.com/p/DTMIoBZjP-K/,Para enojar a cualquiera 😡😡😡😡
bautista256,18104524081704874,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂😂😂😂😂😂😂
johnnymarksp,18068615936453252,https://www.instagram.com/p/DTMIoBZjP-K/,"Todo eso, y que les jalen en cabello los hace enojar... 😌"
itsvaleg,18435312997128129,https://www.instagram.com/p/DTMIoBZjP-K/,Cómo que una crepa? 🫠
mjcons63,18107735797679008,https://www.instagram.com/p/DTMIoBZjP-K/,Ya me enojé
weropalmas12,17998149140712160,https://www.instagram.com/p/DTMIoBZjP-K/,No me jales mi cabello!!!
montana.ink,18047411051495284,https://www.instagram.com/p/DTMIoBZjP-K/,Con las marquesitas noooo!! 😡
baby_el_de_la_j_,18082225874517118,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂 las cosas como son 🤣🤣😂🤣😂🤣
odaku12,17984562110929245,https://www.instagram.com/p/DTMIoBZjP-K/,Creo q al final no fue actuado jejeje
mighty_tynus,18137480533485530,https://www.instagram.com/p/DTMIoBZjP-K/,Si... a todo
omualdo,18058970102330336,https://www.instagram.com/p/DTMIoBZjP-K/,No veo fallas en su lógica
gerardo_gerardoalmazo,18110315551631102,https://www.instagram.com/p/DTMIoBZjP-K/,Muy Cierto.
elchrismeza,18089855786054964,https://www.instagram.com/p/DTMIoBZjP-K/,Faltó pedir mayonesa para la torta de cochinita
eduardogutierrez442,18074636060347189,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😂😂
jose9_91329,17994971402729007,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂
royisonfire,18081527200952405,https://www.instagram.com/p/DTMIoBZjP-K/,😂
manuglz06,17955287076027246,https://www.instagram.com/p/DTMIoBZjP-K/,Pelannaaa!!
jonmonari,18106162756737522,https://www.instagram.com/p/DTMIoBZjP-K/,"Desde que vi tu primer video quiero ver otra vez a don Gato y su pandilla, soy de Costa Rica."
lolorgzschz,18008350697672458,https://www.instagram.com/p/DTMIoBZjP-K/,Estás bien calabaza 🎃 jajaja
gomezrudydiaz,18334078717209609,https://www.instagram.com/p/DTMIoBZjP-K/,"En Campeche el no lo llamamos salbute, le decíamos panuchos y a la tostada pues el es panucho ,"
ana_soffiar,18087935573284723,https://www.instagram.com/p/DTMIoBZjP-K/,Lo de la marquesita fue personal
edredmera,18074430404365607,https://www.instagram.com/p/DTMIoBZjP-K/,Y el Salbutamol??
p.a.k.i.ng,18085726115144798,https://www.instagram.com/p/DTMIoBZjP-K/,Y jalarle el cabeio sirve?
raul.escartin.777,18107845726639133,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂😂😍😍😍😍
pinkucn,18443689957101378,https://www.instagram.com/p/DTMIoBZjP-K/,"Mi marido es Campechano y todo lo que se distorsiona hasta con los nombres, le enoja"
rocio.carvajalc,18070182338622496,https://www.instagram.com/p/DTMIoBZjP-K/,Funenme pero no puedo computar las marquesitas 😬
alexandra1591102,18117576241599605,https://www.instagram.com/p/DTMIoBZjP-K/,"🤣🤣 y si jaja yo creía que los panuchos eran otra cosa no una pinche tostada XD y la sopa de lima, lleva lima o como XD y la crepa no me gusta"
chango_makako,17931853146155240,https://www.instagram.com/p/DTMIoBZjP-K/,"Jajaja aaay yo odio las marquesitas, perdoooon! 😅🙈"
kerry___caverga,17903381829185270,https://www.instagram.com/p/DTMIoBZjP-K/,Amo Yucatán
rlermalopez,17995312877857690,https://www.instagram.com/p/DTMIoBZjP-K/,"Solo pídele una booombaaaa.
“😊 Aquí te dejo otra bomba yucateca que habla del enojo:

""Me duele la cabeza
me duele el corazón
me duele todo el cuerpo
de tanto aguantar tu sin razón "" 😂."
pepeortegabs,17922645564218331,https://www.instagram.com/p/DTMIoBZjP-K/,Amo las marquesitas 😍😍😍
mmvzra,18158262877410911,https://www.instagram.com/p/DTMIoBZjP-K/,pues que tiene de malo chingan con las carnes asadas en el norte que no llevan carne y las quesadillas sin queso en CDMX
momitotopo,18082597592330924,https://www.instagram.com/p/DTMIoBZjP-K/,Como me emputa cuando piden una marquesita sin queso y ni soy Yucateca
greg_mejia,18108989800726579,https://www.instagram.com/p/DTMIoBZjP-K/,Se me antojo el salbute ese 😋
alberto.covarrubias.397,18101739565817571,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂😂
ramipril_xd,17864183610476607,https://www.instagram.com/p/DTMIoBZjP-K/,Se le escucha el acento yucateco al chavo que habla 😂😂😂
_plv_22,17870004615512402,https://www.instagram.com/p/DTMIoBZjP-K/,"Quién me jaló mi cabello 😂😂 el que entendió , entendió"
hikariadi,18280363537304706,https://www.instagram.com/p/DTMIoBZjP-K/,Jajaja es que el queso de bola no me gusta tanto 😢
aguilamartinezw,18426698914114756,https://www.instagram.com/p/DTMIoBZjP-K/,😂😂😂
alejandra_re_ga,18069139781152138,https://www.instagram.com/p/DTMIoBZjP-K/,"Las he probado con queso y tampoco me gusta, jeje 😍"
