hashtags:,#México…,#imss,#yucatan
0sc4rsan,18049133501405322,https://www.instagram.com/p/DRsk8UzD7-3/,"@jnoria__ no es no aceptar otro punto de vista, es conocer la realidad del país y ser realista con los datos que la conforman. Aunque no seas profesional de la salud hay muchas herramientas que te pueden ayudar a comprender la epidemióloga de tu país :)."
jnoria__,18540025282046613,https://www.instagram.com/p/DRsk8UzD7-3/,@0sc4rsan  lo sé deberías usarlas. Sería muy bueno!
0sc4rsan,17847026655594656,https://www.instagram.com/p/DRsk8UzD7-3/,"@jnoria__ y respecto a la responsabilidad gubernamental, volvemos a lo mismo, todos lo productos que consumen tienen unos sellotes negros, en la escuela hay campañas de salud a todos niveles, en la televisión abierta y en los hospitales hay carteles y anuncios explicandote tus patologías, pero… hay algo en nuestra cultura llamada valemadrismo :). Cuando pasan a las consultas uno les dice “ no debe de tomar esto porque le hace mal para esto” y prefieren hacer caso omiso y mejor tomar remedios naturistas milagrosos para bajar el azúcar, la educación está, la intención… vemos. Como personal medico es una lucha del día a día para darle la mejor atención a tus pacientes, pero la gente no coopera. No son comentarios vacíos, son comentarios de un profesional que te puede dar de primera mano la respuesta de la problematica de tu país."
0sc4rsan,17922663723053754,https://www.instagram.com/p/DRsk8UzD7-3/,"@jnoria__ gracias, yo las redacto ;)"
jnoria__,18048837263432786,https://www.instagram.com/p/DRsk8UzD7-3/,@0sc4rsan reitero el sesgo que tienes es tan grande como asegurar que un problema tan complejo se soluciona  de manera tan burda. Nos vemos.
adelele,18374339869154520,https://www.instagram.com/p/DRsk8UzD7-3/,Y aun así harán recortes...
rafexcool,17932988891996817,https://www.instagram.com/p/DRsk8UzD7-3/,Sigan diciendo que pagar impuestos no sirve. Mejor optemos por el modelo de salud de EUA para que entiendan porque decían que era como el de Dinamarca.
casacelis,17901684735319459,https://www.instagram.com/p/DRsk8UzD7-3/,"Pero desde la administración no prometieron y aseguraron seríamos Dinamarca? Pero que tal si nuestros descuentos (por lo menos el mío) de nómina está cada quincena, para los políticos porque ni medicinas hay 😠"
rosamaribaix,17968921793986786,https://www.instagram.com/p/DRsk8UzD7-3/,Gracias por compartir... qué terrible y el gobierno gastando en estupideces. Espero que inviertan el dinero necesario para tener excelentes condiciones
alemexq,18150377839423086,https://www.instagram.com/p/DRsk8UzD7-3/,"Soy comerciante formal,y cuando me toca pagar el IMSS ——-sufro——- y quiero dejar esto por aquí,cuando la gente compra lo que sea con los ambulantes y el comercio informal en general,ellos no aportan al IMSS y es muy difícil tratar de competir bajo esas condiciones y pues es un dinerito que no entra a los hospitales y las clínicas……solo digo…..cada quien elige"
geodl,18052160969348291,https://www.instagram.com/p/DRsk8UzD7-3/,"Si consideras la población total de Dinamarca  5.9 millones 
Tal vez debemos ver el discurso como es …
Tenemos capacidad para 5.9 millones .. igual que Dinamarca pero .., 
En un país de 132 millones …
Ese es el tipo de verdades de la 4T  a medias  o 1/13 de la cobertura requerida"
marianitavazar,18027630881577106,https://www.instagram.com/p/DRsk8UzD7-3/,Mi querido amigo…. Esas imagenes que muestras no son NADAAAAA NADAAAA ABSOLUTAMENTE NADAAA con lo que me ha tocado vivir en el IMSS con mi nana. Te juro por mi vida que te toco un dia bueno…. Uno malo es mil veces peor
ginaamayali,17979344105937948,https://www.instagram.com/p/DRsk8UzD7-3/,Hazlo visita más hospitales es un crimen personas de la tercera edad con muchos problemas de salud y grave hasta q se le inchen a los doctores y enfermeras te atienden muy mal servicio de vdd y todo lo q no viste atrás
yarzate,18094080049942068,https://www.instagram.com/p/DRsk8UzD7-3/,@claudia_shein @zoerobledo @luisamalcalde
manueltrotamundo,17943373368098409,https://www.instagram.com/p/DRsk8UzD7-3/,❤️
cristtipimentel,17965306802990681,https://www.instagram.com/p/DRsk8UzD7-3/,Que corage de vdd
nadia.eligia,17894918118221757,https://www.instagram.com/p/DRsk8UzD7-3/,Aquí en Yucatán eternamente ha sido asi
don_diabaster,18014488985799559,https://www.instagram.com/p/DRsk8UzD7-3/,"Y nadie ha pensado porque el actual titular dice en su discurso que lo mejor es no enfermarse, parece ser que el objetivo es que la gente enferma muera, con esto cumplen con la agenda 2030."
patricialor27,18377606800154240,https://www.instagram.com/p/DRsk8UzD7-3/,Ya nos dieron en remedio ...... no enfermarnos 🙄😒😏
chenchamaracas,17848174290582419,https://www.instagram.com/p/DRsk8UzD7-3/,Se burlan diario de los mexicanos 🤬
osotrdrde,18101602855740435,https://www.instagram.com/p/DRsk8UzD7-3/,"Dijiste un punto muy importante andes de decir la palabra ""Dinamarca"" hasta que no vives, a eso esta acostumbrado las personas que mencionaste en tu video de los otros países donde no hay una cultura de prevención, si no de corrección y eso es lo mas complicado, Perú, Bolivia y Guatemala no los puedes comparar porque no tenemos la misma poblacion ni los mismos problemas de salud al igual que Dinamarca y hablando de este ultimo pais en ahi todos pagan el doble o el triple de impuestos y hay menos empresarion y politicos corruptos, asi que es un caldo de cultivo amigo, todos nos tenemos la culpa, ante todo hay que hacer nuestra parte de cuidar nuestra salud, en esa institución en que grabaste undevidamente porque estas en una entidad federativa habia un eslogan de los 80 muy acorde a lo que sucede en estos momentos ""despues de un accidente ya nada es igual"" despeus de desmanrtelar los servicios de salud que esperabas, despues de que no hay programas de prevencion de la salud que esperabas, despues de que en los medios de comunicacion te invades de pastillas milagrosas de cuerpos perfecto y medicamentos que te alivian pero no combate el problema de raiz de la enfermdad que se espera, eso es lo que debemos de relfexionar y como ciudadadanos lo que nos corresponde es cuidar nuestra salud nadia pero nadie nos va a venir a cuidar"
fragments.of.rain,18071814818362884,https://www.instagram.com/p/DRsk8UzD7-3/,"No normalicen está situación!, que no haya tocado vivir esto NO es NORMAL y tampoco estos servicios son gratuitos! Eso nos hacen pensar y NO ES ASI!"
ah_he_5791,18365474902095253,https://www.instagram.com/p/DRsk8UzD7-3/,El pueblo bueno por $100.00 diarios no se quejan y dicen que está todo con madre
ah_he_5791,18120992272546688,https://www.instagram.com/p/DRsk8UzD7-3/,"Pues si... Pero quién realmente lo sufre día a día (el pueblo sabio) no dice nada, no se quejan y hasta lo defienden"
nowii82,18082649891023791,https://www.instagram.com/p/DRsk8UzD7-3/,Es moy triste Que esto pase en 2025
tteressa3110,17970858362976513,https://www.instagram.com/p/DRsk8UzD7-3/,"Llevan los doctores más de 6 años suplicando ayuda, empatía, solidaridad para exigir mejores condiciones y a nadie le importa, han despedido doctores y enfermeras que exigen mejores condiciones. Y nadie se mueve!"
omar_colunga11,17924222820187776,https://www.instagram.com/p/DRsk8UzD7-3/,"Dejen de soñar con un hospital de 2do y 3er nivel, tenemos que apostarle al 1er nivel, pero mi pregunta es: ¿Cómo le das las herramientas a la sociedad para que se cuide si: existe la precarizacion, la brecha salarial cada vez es mas grande, donde pasas horas en transporte y horas en trabajo, dime a qué hora?, ahora la problemática de desabastecimiento y precarizacion de la salud pública no es exclusiva de el sur global, investiga y veras que es en todo el globo. El enemigo es claro (💰), el cuidado (la salud) consume mas de lo que genera., por qué el sistema privado no sufre de esto?..."
